PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
668964,Tobias Myers,New York Mets,P,30,3,1,2,2,51.2,155,38,15,5.75,1.37
623474,Jimmy Herget,Colorado Rockies,P,49,3,0,6,3,50.0,150,43,25,5.76,1.52
657265,Peter Strzelecki,St. Louis Cardinals,P,8,0,1,1,0,14.0,42,8,6,5.79,1.36
695076,Rhett Lowder,Cincinnati Reds,P,27,24,6,11,0,124.1,373,98,51,5.79,1.52
571945,Miles Mikolas,Washington Nationals,P,25,11,3,9,0,116.0,348,58,23,5.82,1.38
676604,Tyler Zuber,Miami Marlins,P,43,0,2,1,1,38.2,116,41,11,5.82,1.45
680723,Drew Rom,Athletics,P,14,0,1,1,0,12.1,37,16,7,5.84,1.86
669203,Corbin Burnes,Arizona Diamondbacks,P,2,2,0,0,0,7.2,23,6,2,5.87,1.17
694646,Chayce McDermott,New York Mets,P,5,0,1,0,0,7.2,23,6,4,5.87,1.57
660761,José Suarez,Athletics,P,45,2,1,4,1,61.1,184,61,27,5.87,1.61
660604,Alan Rangel,Philadelphia Phillies,P,7,3,0,3,0,26.0,78,29,13,5.88,1.69
476594,Robert Stock,New York Mets,P,8,7,1,3,0,30.1,91,29,15,5.93,1.75
671106,Logan Allen,Cleveland Guardians,P,7,2,0,0,0,16.2,50,16,6,5.94,1.74
471911,Carlos Carrasco,Atlanta Braves,P,8,0,0,0,0,16.2,50,7,3,5.94,1.44
668674,Lucas Erceg,Kansas City Royals,P,49,0,4,4,12,45.1,136,32,29,5.96,1.83
680570,Grayson Rodriguez,Los Angeles Angels,P,19,19,4,8,0,93.2,281,83,38,5.96,1.54
681347,Mike Burrows,Houston Astros,P,18,17,4,9,0,94.2,284,75,35,5.99,1.55
688642,Zach Agnos,Colorado Rockies,P,40,3,0,2,2,87.0,261,57,34,6.0,1.53
687924,Julian Aguiar,Cincinnati Reds,P,1,0,1,0,0,3.0,9,2,1,6.0,1.67
672578,Carlos Hernández,Cleveland Guardians,P,2,0,0,0,0,3.0,9,4,1,6.0,2.0
687309,Cooper Hjerpe,St. Louis Cardinals,P,3,0,1,0,0,9.0,27,12,6,6.0,1.11
608348,Carson Kelly,Chicago Cubs,"1B, C, DH, P",3,0,0,0,0,3.0,9,0,0,6.0,1.33
623381,Thomas Pannone,Milwaukee Brewers,P,1,1,0,1,0,3.0,9,2,2,6.0,1.67
686678,Chase Solesky,Tampa Bay Rays,P,1,0,0,0,0,3.0,9,4,1,6.0,2.33
685299,Tanner Gordon,Colorado Rockies,P,23,11,1,5,0,100.1,301,84,20,6.01,1.55
682825,Luis Mey,Cincinnati Reds,P,25,0,0,0,0,31.1,94,46,19,6.03,1.63
453286,Max Scherzer,Toronto Blue Jays,P,16,16,3,8,0,72.2,218,54,31,6.07,1.36
676684,Will Vest,Detroit Tigers,P,27,0,3,5,2,26.2,80,27,10,6.08,1.43
695239,Robby Ahlstrom,Texas Rangers,P,42,0,3,1,0,37.0,111,34,15,6.08,1.43
656638,Alex Lange,Kansas City Royals,P,56,0,2,7,10,57.2,173,57,30,6.09,1.56
676760,Ron Marinaccio,Cincinnati Reds,P,41,0,1,0,0,57.2,173,48,27,6.09,1.53
689149,Chad Dallas,Toronto Blue Jays,P,4,0,2,1,0,10.1,31,10,6,6.1,1.55
678020,Seth Halvorsen,Los Angeles Dodgers,P,31,0,1,2,0,28.0,84,21,17,6.11,1.79
686993,Justin Sterner,Athletics,P,46,0,2,3,1,42.2,128,40,13,6.12,1.38
668678,Zac Gallen,Arizona Diamondbacks,P,21,20,3,9,0,104.1,313,64,35,6.12,1.56
678022,Jack Perkins,Athletics,P,35,15,3,11,3,110.0,330,127,48,6.14,1.48
621074,Michael Rucker,Seattle Mariners,P,34,0,1,4,0,39.1,118,44,14,6.18,1.32
664208,Phil Maton,Chicago Cubs,P,31,0,0,1,0,27.2,83,31,16,6.18,1.81
